id,nombre,id_area,sueldo
90,Veronica,4,6200
91,Andres,1,3700
92,Daniela,2,6000
93,Victor,3,4600
94,Silvia,5,4600
95,Raul,1,3200
96,Karla,1,1900
97,Cristian,3,3200
98,Lorena,3,1800
99,Manuel,1,5800
100,Teresa,1,2200
101,Ana,5,3900
102,Luis,1,3300
103,Pedro,1,4900
104,Carlos,1,2600
105,Maria,3,5400
106,Jose,3,3300
107,Lucia,4,4400
108,Diego,1,2400
109,Sofia,3,4000
110,Andrea,2,4700
111,Marco,5,2100
112,Elena,3,5900
113,Daniel,1,4300
114,Valeria,3,2400
115,Miguel,1,3000
116,Camila,2,2600
117,Jorge,2,3500
118,Paola,2,2200
119,Fernando,2,5300
120,Rosa,1,5900
121,Alberto,5,1800
122,Claudia,5,3300
123,Ricardo,1,4900
124,Patricia,2,4300
125,Sebastian,5,2800
126,Gabriela,2,4200
127,Martin,1,4700
128,Natalia,1,6200
129,Oscar,5,5300
130,Diana,3,4900
131,Alejandro,1,3600
132,Carolina,1,2100
133,Eduardo,3,5200
134,Fiorella,1,3800
135,Gustavo,1,5500
136,Mariana,2,5100
137,Renzo,1,5000
138,Milagros,1,2900
139,Hector,1,2200
140,Veronica,3,3300
141,Andres,2,5400
142,Daniela,1,5600
143,Victor,1,2300
144,Silvia,2,5500
145,Raul,3,3800
146,Karla,5,3100
147,Cristian,3,3800
148,Lorena,1,4300
149,Manuel,1,5900
150,Teresa,1,3800
151,Ana,5,2200
152,Luis,1,5700
153,Pedro,5,2400
154,Carlos,1,3100
155,Maria,2,2600
156,Jose,5,2200
157,Lucia,5,4100
158,Diego,1,4600
159,Sofia,4,6300
160,Andrea,2,5900
161,Marco,2,6000
162,Elena,4,3700
163,Daniel,5,2400
164,Valeria,5,2600
165,Miguel,1,2400
166,Camila,3,2700
167,Jorge,1,5600
168,Paola,1,3900
169,Fernando,1,5800
170,Rosa,5,5000
171,Alberto,2,2100
172,Claudia,1,4500
173,Ricardo,4,2000
174,Patricia,1,2600
175,Sebastian,3,3400
176,Gabriela,1,4600
177,Martin,3,4500
178,Natalia,3,2500
179,Oscar,1,6200
180,Diana,5,5200
181,Alejandro,1,4100
182,Carolina,3,2700
183,Eduardo,2,2000
184,Fiorella,2,2000
185,Gustavo,5,3100
186,Mariana,3,6000
187,Renzo,1,5300
188,Milagros,5,4400
189,Hector,5,6500
190,Veronica,1,3300
191,Andres,5,2900
192,Daniela,5,1900
193,Victor,1,3900
194,Silvia,4,4400
195,Raul,4,6500
196,Karla,4,3500
197,Cristian,1,6200
198,Lorena,1,2000
199,Manuel,5,3200
200,Teresa,1,4700
201,Ana,2,3200
202,Luis,1,6000
203,Pedro,1,3900
204,Carlos,1,2200
205,Maria,5,3500
206,Jose,2,5000
207,Lucia,2,5200
208,Diego,2,1900
209,Sofia,1,3400
210,Andrea,1,3400
211,Marco,1,5600
212,Elena,2,6400
213,Daniel,4,4500
214,Valeria,3,5000
215,Miguel,1,5400
216,Camila,1,2000
217,Jorge,3,1800
218,Paola,2,5200
219,Fernando,3,6500
220,Rosa,3,3000
221,Alberto,2,2200
222,Claudia,5,3900
223,Ricardo,3,6000
224,Patricia,4,6400
225,Sebastian,5,5000
226,Gabriela,2,4400
227,Martin,2,6200
228,Natalia,1,2600
229,Oscar,1,6000
230,Diana,5,6100
231,Alejandro,3,2900
232,Carolina,3,3700
233,Eduardo,2,1800
234,Fiorella,2,3100
235,Gustavo,2,5500
236,Mariana,3,3800
237,Renzo,2,4600
238,Milagros,3,5000
239,Hector,2,6500
240,Veronica,1,2300
241,Andres,1,6000
242,Daniela,3,3900
243,Victor,1,3300
244,Silvia,3,3200
245,Raul,4,2700
246,Karla,1,3300
247,Cristian,5,5700
248,Lorena,4,2200
249,Manuel,2,5800
250,Teresa,3,6300
